Algoritmo,Bits,Tempo_Medio_ms,Tempo_Min_ms,Tempo_Max_ms,Desvio_Padrao_ms
LCG,40,0.001994,0.001058,0.009855,0.002345
LCG,56,0.001103,0.001023,0.001547,0.000126
LCG,80,0.001389,0.001319,0.001821,0.000123
LCG,128,0.001720,0.001642,0.002125,0.000112
LCG,168,0.002301,0.002205,0.002741,0.000125
LCG,224,0.002625,0.002547,0.003072,0.000123
LCG,256,0.002914,0.002845,0.003270,0.000101
LCG,512,0.005495,0.005277,0.006719,0.000345
LCG,1024,0.010003,0.009270,0.012404,0.000877
LCG,2048,0.019950,0.018419,0.034388,0.004017
LCG,4096,0.042365,0.039881,0.049948,0.003641
XORShift,40,0.001710,0.001400,0.004229,0.000694
XORShift,56,0.001480,0.001373,0.002104,0.000171
XORShift,80,0.001846,0.001719,0.002383,0.000163
XORShift,128,0.002676,0.002164,0.005172,0.000974
XORShift,168,0.003205,0.003046,0.003900,0.000206
XORShift,224,0.003624,0.003495,0.004421,0.000225
XORShift,256,0.005018,0.003886,0.017319,0.003329
XORShift,512,0.010519,0.008000,0.014765,0.002494
XORShift,1024,0.015297,0.013844,0.022194,0.002086
XORShift,2048,0.029532,0.027508,0.036664,0.002539
XORShift,4096,0.060360,0.058132,0.081999,0.005983
